index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
1,"Bettes, John",A Man in a Black Cap,Oil paint on oak,1545,0.47,0.41,Male,1531,1897,http://www.tate.org.uk/art/artworks/bettes-a-man-in-a-black-cap-n01496
2,"Eworth, Hans",Portrait of an Unknown Lady,Oil paint on wood,1557,0.597,0.483,Male,1540,1963,http://www.tate.org.uk/art/artworks/eworth-portrait-of-an-unknown-lady-t00606
3,"Eworth, Hans","Portrait of Elizabeth Roydon, Lady Golding",Oil paint on wood,1563,0.378,0.302,Male,1540,1972,http://www.tate.org.uk/art/artworks/eworth-portrait-of-elizabeth-roydon-lady-golding-t01569
4,"Eworth, Hans",Portrait of an Unknown Lady,Oil paint on oak,1565,0.998,0.619,Male,1540,1984,http://www.tate.org.uk/art/artworks/eworth-portrait-of-an-unknown-lady-t03896
5,"Gower, George",Sir Thomas Kytson,Oil paint on oak,1573,0.527,0.4,Male,1540,1952,http://www.tate.org.uk/art/artworks/gower-sir-thomas-kytson-n06090
6,"Gower, George",Lady Kytson,Oil paint on wood,1573,0.685,0.522,Male,1540,1952,http://www.tate.org.uk/art/artworks/gower-lady-kytson-n06091
7,"Gheeraerts, Marcus, II","Portrait of Mary Rogers, Lady Harington",Oil paint on wood,1592,1.13,0.851,Male,1561,1974,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-mary-rogers-lady-harington-t01872
8,"Gheeraerts, Marcus, II",Portrait of Captain Thomas Lee,Oil paint on canvas,1594,2.305,1.508,Male,1561,1980,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-captain-thomas-lee-t03028
9,"Gheeraerts, Marcus, II",Portrait of an Unknown Lady,Oil paint on wood,1595,0.927,0.76,Male,1561,2001,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-an-unknown-lady-t07699
10,"Oliver, Isaac",Charity,"Ink, watercolour and gouache on paper",1596,0.114,0.081,Male,1560,1997,http://www.tate.org.uk/art/artworks/oliver-charity-t10165
11,"Segar, Sir William",Portrait of a Man in a Slashed Black Doublet,Oil paint on oak,1605,1,0.806,Male,1580,1983,http://www.tate.org.uk/art/artworks/segar-portrait-of-a-man-in-a-slashed-black-doublet-t03576
12,"Gheeraerts, Marcus, II","Portrait of a Man in Classical Dress, possibly Philip Herbert, 4th Earl of Pembroke",Oil paint on oak,1610,0.556,0.446,Male,1561,1982,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-a-man-in-classical-dress-possibly-philip-herbert-4th-earl-of-t03466
13,"Peake, Robert",Lady Anne Pope,Oil paint on wood,1615,0.571,0.445,Male,1551,1955,http://www.tate.org.uk/art/artworks/peake-lady-anne-pope-t00068
14,"Peake, Robert",Lady Elizabeth Pope,Oil paint on wood,1615,0.775,0.61,Male,1551,1955,http://www.tate.org.uk/art/artworks/peake-lady-elizabeth-pope-t00067
15,"Van Somer, Paul","Lady Elizabeth Grey, Countess of Kent",Oil paint on wood,1619,1.143,0.819,Male,1577,1961,http://www.tate.org.uk/art/artworks/van-somer-lady-elizabeth-grey-countess-of-kent-t00398
16,"Gheeraerts, Marcus, II",Portrait of a Woman in Red,Oil paint on oak,1620,1.143,0.902,Male,1561,1982,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-a-woman-in-red-t03456
17,"Johnson, Cornelius","Portrait of Susanna Temple, Later Lady Lister",Oil paint on oak,1620,0.679,0.518,Male,1593,1981,http://www.tate.org.uk/art/artworks/johnson-portrait-of-susanna-temple-later-lady-lister-t03250
18,"Bacon, Sir Nathaniel",Cookmaid with Still Life of Vegetables and Fruit,Oil paint on canvas,1620,1.51,2.475,Male,1585,1995,http://www.tate.org.uk/art/artworks/bacon-cookmaid-with-still-life-of-vegetables-and-fruit-t06995
19,"Mytens, Daniel, the Elder","Portrait of James Hamilton, Earl of Arran, Later 3rd Marquis and 1st Duke of Hamilton, Aged 17",Oil paint on canvas,1623,2.007,1.251,Male,1590,1919,http://www.tate.org.uk/art/artworks/mytens-portrait-of-james-hamilton-earl-of-arran-later-3rd-marquis-and-1st-duke-of-hamilton-n03474
20,"Souch, John",George Puleston (?),Oil paint on canvas,1625,0.762,0.635,Male,1594,1954,http://www.tate.org.uk/art/artworks/souch-george-puleston-n06247
21,"Colone, Adam de","Portrait of Lady Margaret Livingstone, 2nd Countess of Wigtown",Oil paint on canvas,1625,1.143,0.846,Male,1572,2012,http://www.tate.org.uk/art/artworks/colone-portrait-of-lady-margaret-livingstone-2nd-countess-of-wigtown-t13440
22,"Rubens, Peter Paul","The Apotheosis of James I and Other Studies: Multiple Sketch for the Banqueting House Ceiling, Whitehall",Oil paint on oak,1628,0.947,0.63,Male,1577,2009,http://www.tate.org.uk/art/artworks/rubens-the-apotheosis-of-james-i-and-other-studies-multiple-sketch-for-the-banqueting-t12919
23,"Johnson, Cornelius",Portrait of an Unknown Gentleman,Oil paint on oak,1629,0.435,0.318,Male,1593,1965,http://www.tate.org.uk/art/artworks/johnson-portrait-of-an-unknown-gentleman-t00744
24,"Johnson, Cornelius",Portrait of an Unknown Lady,Oil paint on oak,1629,0.41,0.33,Male,1593,1965,http://www.tate.org.uk/art/artworks/johnson-portrait-of-an-unknown-lady-t00745
25,"Cleyn, Francis",Samuel's Reproach to Saul,"Graphite, ink and watercolour on paper",1630,0.245,0.396,Male,1582,1990,http://www.tate.org.uk/art/artworks/cleyn-samuels-reproach-to-saul-t05745
26,"Van Dyck, Sir Anthony",A Lady of the Spencer Family,Oil paint on canvas,1633,2.076,1.276,Male,1599,1977,http://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139
27,"Dobson, William",Portrait of the Artist's Wife,Oil paint on canvas,1635,0.61,0.457,Male,1611,1992,http://www.tate.org.uk/art/artworks/dobson-portrait-of-the-artists-wife-t06640
28,"Des Granges, David",The Saltonstall Family,Oil paint on canvas,1636,2.14,2.762,Male,1611,1976,http://www.tate.org.uk/art/artworks/des-granges-the-saltonstall-family-t02020
29,"Van Dyck, Sir Anthony",Portrait of Sir William Killigrew,Oil paint on canvas,1638,1.052,0.841,Male,1599,2002,http://www.tate.org.uk/art/artworks/van-dyck-portrait-of-sir-william-killigrew-t07896
30,"Van Dyck, Sir Anthony","Portrait of Mary Hill, Lady Killigrew",Oil paint on canvas,1638,1.065,0.833,Male,1599,2003,http://www.tate.org.uk/art/artworks/van-dyck-portrait-of-mary-hill-lady-killigrew-t07956
31,"Keirincx, Alexander",Distant View of York,Oil paint on oak,1639,0.529,0.687,Male,1600,1986,http://www.tate.org.uk/art/artworks/keirincx-distant-view-of-york-t04168
32,"Jackson, Gilbert",A Lady of the Grenville Family and her Son,Oil paint on canvas,1640,0.742,0.608,Male,1621,1981,http://www.tate.org.uk/art/artworks/jackson-a-lady-of-the-grenville-family-and-her-son-t03237
33,"Dobson, William",Endymion Porter,Oil paint on canvas,1642,1.499,1.27,Male,1611,1888,http://www.tate.org.uk/art/artworks/dobson-endymion-porter-n01249
34,"Johnson, Cornelius",Apolonius Veth,Oil paint on canvas,1644,0.781,0.635,Male,1593,1891,http://www.tate.org.uk/art/artworks/johnson-apolonius-veth-n01320
35,"Johnson, Cornelius",Cornelia Veth,Oil paint on canvas,1644,0.787,0.635,Male,1593,1891,http://www.tate.org.uk/art/artworks/johnson-cornelia-veth-n01321
36,"Dobson, William",Portrait of an Officer,Oil paint on canvas,1645,1.022,0.762,Male,1611,1932,http://www.tate.org.uk/art/artworks/dobson-portrait-of-an-officer-n04619
37,"Bower, Edward",Sir John Drake,Oil paint on canvas,1646,1.244,0.981,Male,1629,1962,http://www.tate.org.uk/art/artworks/bower-sir-john-drake-t00500
38,"Johnson, Cornelius",Portrait of an Unknown Lady,Oil paint on canvas,1646,0.794,0.641,Male,1593,1910,http://www.tate.org.uk/art/artworks/johnson-portrait-of-an-unknown-lady-n02530
39,"Lely, Sir Peter",Boy Playing a Jew's Harp,Oil paint on canvas,1648,1.41,1.029,Male,1618,1966,http://www.tate.org.uk/art/artworks/lely-boy-playing-a-jews-harp-t00884
40,"Lely, Sir Peter",Man Playing a Pipe,Oil paint on canvas,1648,1.428,1.055,Male,1618,1966,http://www.tate.org.uk/art/artworks/lely-man-playing-a-pipe-t00885
41,"Anderton, Henry",Mountain Landscape with Dancing Shepherd,Oil paint on canvas,1650,0.457,0.597,Male,1630,1983,http://www.tate.org.uk/art/artworks/anderton-mountain-landscape-with-dancing-shepherd-t03543
42,"Lely, Sir Peter",Susanna and the Elders,Oil paint on canvas,1650,1.27,1.492,Male,1618,1961,http://www.tate.org.uk/art/artworks/lely-susanna-and-the-elders-t00452
43,"Gibbs, Henry",Aeneas and his Family Fleeing Burning Troy,Oil paint on canvas,1654,1.55,1.598,Male,1631,1994,http://www.tate.org.uk/art/artworks/gibbs-aeneas-and-his-family-fleeing-burning-troy-t06782
44,"Hayls, John","Portrait of a Lady and a Boy, with Pan",Oil paint on canvas,1655,1.73,1.6,Male,1645,1995,http://www.tate.org.uk/art/artworks/hayls-portrait-of-a-lady-and-a-boy-with-pan-t06993
45,"Barlow, Francis",Diversae Avium Species Studiosissime ad Vitam Delineatae,Etching and engraving on paper,1658,0.126,0.171,Male,1626,1997,http://www.tate.org.uk/art/artworks/barlow-diversae-avium-species-studiosissime-ad-vitam-delineatae-t11562
46,"Johnson, Cornelius",Unknown Lady,Oil paint on canvas,1659,1.245,1.01,Male,1593,1950,http://www.tate.org.uk/art/artworks/johnson-unknown-lady-n05927
47,"Fuller, Isaac",Portrait of an Unknown Man,Oil paint on canvas,1660,1.245,1.022,Male,1606,1955,http://www.tate.org.uk/art/artworks/fuller-portrait-of-an-unknown-man-t00056
48,"Lely, Sir Peter",Two Ladies of the Lake Family,Oil paint on canvas,1660,1.27,1.81,Male,1618,1955,http://www.tate.org.uk/art/artworks/lely-two-ladies-of-the-lake-family-t00058
49,"Soest, Gilbert","Portrait of a Gentleman with a Dog, Probably Sir Thomas Tipping",Oil paint on canvas,1660,0.939,1.149,Male,1605,1986,http://www.tate.org.uk/art/artworks/soest-portrait-of-a-gentleman-with-a-dog-probably-sir-thomas-tipping-t04162
50,"Manby, Thomas",The Ruins of the Colosseum,Watercolour and graphite on paper,1660,0.382,0.279,Male,1660,1988,http://www.tate.org.uk/art/artworks/manby-the-ruins-of-the-colosseum-t05518
51,"Beale, Mary","Sketch of the Artist's Son, Bartholomew Beale, in Profile",Oil paint on paper,1660,0.325,0.245,Female,1633,2011,http://www.tate.org.uk/art/artworks/beale-sketch-of-the-artists-son-bartholomew-beale-in-profile-t13245
52,"Beale, Mary","Sketch of the Artist's Son, Bartholomew Beale, Facing Left",Oil paint on paper,1660,0.325,0.245,Female,1633,2011,http://www.tate.org.uk/art/artworks/beale-sketch-of-the-artists-son-bartholomew-beale-facing-left-t13246
53,"Barlow, Francis",Monkeys and Dogs Playing,Oil paint on canvas,1661,1.055,1.32,Male,1626,1989,http://www.tate.org.uk/art/artworks/barlow-monkeys-and-dogs-playing-t05572
54,"Wright, John Michael","Portrait of Mary Villiers, Duchess of Richmond, with her late son Esme and her daughter Mary",Oil paint on canvas,1661,0.965,1.195,Male,1617,1991,http://www.tate.org.uk/art/artworks/wright-portrait-of-mary-villiers-duchess-of-richmond-with-her-late-son-esme-and-her-t06455
55,"Lely, Sir Peter",Girl with a Parrot,Oil paint on canvas,1670,1.245,1.016,Male,1618,1876,http://www.tate.org.uk/art/artworks/lely-girl-with-a-parrot-n01016
56,"Lely, Sir Peter",Frans Mercurius van Helmont,Oil paint on canvas,1670,1.232,1.01,Male,1618,1921,http://www.tate.org.uk/art/artworks/lely-frans-mercurius-van-helmont-n03583
57,"Lely, Sir Peter",Portrait of an Unknown Woman,Oil paint on canvas,1670,1.251,1.003,Male,1618,1965,http://www.tate.org.uk/art/artworks/lely-portrait-of-an-unknown-woman-t00755
58,"Soest, Gilbert","Henry Howard, 6th Duke of Norfolk",Oil paint on canvas,1670,1.27,1.073,Male,1605,1965,http://www.tate.org.uk/art/artworks/soest-henry-howard-6th-duke-of-norfolk-t00746
59,"Kneller, Sir Godfrey",Elijah and the Angel,Oil paint on canvas,1672,1.765,1.486,Male,1646,1954,http://www.tate.org.uk/art/artworks/kneller-elijah-and-the-angel-n06222
60,"Huysmans, Jacob","Portrait of a Lady, as Diana",Oil paint on canvas,1674,1.197,1.013,Male,1630,1967,http://www.tate.org.uk/art/artworks/huysmans-portrait-of-a-lady-as-diana-t00901
61,"Wright, John Michael",Portrait of Mrs Salesbury with her Grandchildren Edward and Elizabeth Bagot,Oil paint on canvas,1675,1.295,1.336,Male,1617,1993,http://www.tate.org.uk/art/artworks/wright-portrait-of-mrs-salesbury-with-her-grandchildren-edward-and-elizabeth-bagot-t06750
62,"Kneller, Sir Godfrey",Portrait of John Banckes,Oil paint on canvas,1676,1.372,1.016,Male,1646,1987,http://www.tate.org.uk/art/artworks/kneller-portrait-of-john-banckes-t05019
63,"Lely, Sir Peter","Elizabeth, Countess of Kildare",Oil paint on canvas,1679,1.234,1,Male,1618,1955,http://www.tate.org.uk/art/artworks/lely-elizabeth-countess-of-kildare-t00070
64,"Verrio, Antonio",Sketch for a Ceiling Decoration: An Assembly of the Gods,Oil paint on canvas,1680,1.692,0.829,Male,1639,1967,http://www.tate.org.uk/art/artworks/verrio-sketch-for-a-ceiling-decoration-an-assembly-of-the-gods-t00916
65,"Wright, John Michael",Sir Neil O'Neill,Oil paint on canvas,1680,2.327,1.632,Male,1617,1957,http://www.tate.org.uk/art/artworks/wright-sir-neil-oneill-t00132
66,"Barlow, Francis","Cock, Hen and Sparrows","Graphite, ink and watercolour on paper",1680,0.132,0.175,Male,1626,1997,http://www.tate.org.uk/art/artworks/barlow-cock-hen-and-sparrows-t08580
67,"Beale, Mary",Portrait of a Young Girl,Oil paint on canvas,1681,0.535,0.46,Female,1633,1992,http://www.tate.org.uk/art/artworks/beale-portrait-of-a-young-girl-t06612
68,"Du Bois, Simon","Portrait of a Gentleman, probably Arthur Parsons MD",Oil paint on canvas,1683,0.769,0.642,Male,1632,1998,http://www.tate.org.uk/art/artworks/du-bois-portrait-of-a-gentleman-probably-arthur-parsons-md-t07469
69,"Wissing, Willem",Portrait of Henrietta and Mary Hyde,Oil paint on canvas,1683,1.53,1.12,Male,1656,2006,http://www.tate.org.uk/art/artworks/wissing-portrait-of-henrietta-and-mary-hyde-t12143
70,"Ferguson, William Gow",Still Life,Oil paint on canvas,1684,0.654,0.54,Male,1633,1955,http://www.tate.org.uk/art/artworks/ferguson-still-life-t00061
71,"Verelst, Harman","Portrait of a lady, thought to be Dionesse Cullum, wife of Robert Colman",Oil paint on canvas,1685,0.75,0.63,Male,1641,1997,http://www.tate.org.uk/art/artworks/verelst-portrait-of-a-lady-thought-to-be-dionesse-cullum-wife-of-robert-colman-t07241
72,"Kneller, Sir Godfrey","Philip, 4th Lord of Wharton",Oil paint on canvas,1685,2.286,1.448,Male,1646,2005,http://www.tate.org.uk/art/artworks/kneller-philip-4th-lord-of-wharton-t12029
73,"Gennari, Benedetto","Elizabeth Panton, Later Lady Arundell of Wardour, as Saint Catherine",Oil paint on canvas,1689,1.25,1.021,Male,1633,1994,http://www.tate.org.uk/art/artworks/gennari-elizabeth-panton-later-lady-arundell-of-wardour-as-saint-catherine-t06897
74,"Riley, John",James Sotheby,Oil paint on canvas,1690,1.27,1.027,Male,1646,1955,http://www.tate.org.uk/art/artworks/riley-james-sotheby-t00057
75,"Siberechts, Jan","Landscape with Rainbow, Henley-on-Thames",Oil paint on canvas,1690,0.819,1.029,Male,1627,1967,http://www.tate.org.uk/art/artworks/siberechts-landscape-with-rainbow-henley-on-thames-t00899
76,"Cheron, Louis",Vulcan Catching Mars and Venus in his Net,Oil paint on paper on canvas,1695,0.495,0.391,Male,1660,1963,http://www.tate.org.uk/art/artworks/cheron-vulcan-catching-mars-and-venus-in-his-net-t00578
77,"Kneller, Sir Godfrey",The First Marquess of Tweeddale,Oil paint on canvas,1695,0.749,0.635,Male,1646,1917,http://www.tate.org.uk/art/artworks/kneller-the-first-marquess-of-tweeddale-n03272
78,"Collier, Edward",Still Life with a Volume of Wither's Emblemes',Oil paint on canvas,1696,0.838,1.079,Male,1662,1949,http://www.tate.org.uk/art/artworks/collier-still-life-with-a-volume-of-withers-emblemes-n05916
79,"Kneller, Sir Godfrey",John Smith the Engraver,Oil paint on canvas,1696,0.758,0.63,Male,1646,1856,http://www.tate.org.uk/art/artworks/kneller-john-smith-the-engraver-n00273
80,"Siberechts, Jan","View of a House and its Estate in Belsize, Middlesex",Oil paint on canvas,1696,1.079,1.397,Male,1627,1995,http://www.tate.org.uk/art/artworks/siberechts-view-of-a-house-and-its-estate-in-belsize-middlesex-t06996
81,"Collier, Edward",Still Life,Oil paint on canvas,1699,0.762,0.635,Male,1662,1948,http://www.tate.org.uk/art/artworks/collier-still-life-n05856
82,"Collier, Edward","A Trompe l'Oeil of Newspapers, Letters and Writing Implements on a Wooden Board",Oil paint on canvas,1699,0.588,0.462,Male,1662,1984,http://www.tate.org.uk/art/artworks/collier-a-trompe-loeil-of-newspapers-letters-and-writing-implements-on-a-wooden-board-t03853
83,"Hamilton, James",Two Hounds Chasing a Hare,Oil paint on canvas,1700,1.105,1.572,Male,1640,1978,http://www.tate.org.uk/art/artworks/hamilton-two-hounds-chasing-a-hare-t02266
84,"Cradock, Marmaduke",A Peacock and Other Birds in a Landscape,Oil paint on canvas,1700,0.761,0.632,Male,1660,1991,http://www.tate.org.uk/art/artworks/cradock-a-peacock-and-other-birds-in-a-landscape-t06488
85,"Dahl, Michael",Portrait of Mrs Haire,Oil paint on canvas,1701,0.768,0.639,Male,1659,1991,http://www.tate.org.uk/art/artworks/dahl-portrait-of-mrs-haire-t06499
86,"Kneller, Sir Godfrey","John Smith, Speaker of the House of Commons",Oil paint on canvas,1707,2.205,1.565,Male,1646,1985,http://www.tate.org.uk/art/artworks/kneller-john-smith-speaker-of-the-house-of-commons-t03982
87,"Griffier, Jan, I",View of Hampton Court Palace,Oil paint on copper,1710,0.381,0.505,Male,1645,1961,http://www.tate.org.uk/art/artworks/griffier-view-of-hampton-court-palace-t00408
88,"Griffier, Jan, I",A Turkey and other Fowl in a Park,Oil paint on canvas,1710,1.146,1.39,Male,1645,1985,http://www.tate.org.uk/art/artworks/griffier-a-turkey-and-other-fowl-in-a-park-t04129
89,"Thornhill, Sir James","The Apotheosis of Romulus: Sketch for a Ceiling Decoration, Possibly for Hewell Grange, Worcestershire",Oil paint on canvas,1710,0.457,0.521,Male,1675,1953,http://www.tate.org.uk/art/artworks/thornhill-the-apotheosis-of-romulus-sketch-for-a-ceiling-decoration-possibly-for-hewell-n06200
90,"Thornhill, Sir James",Thetis Accepting the Shield of Achilles from Vulcan,Oil paint on wood,1710,0.489,0.498,Male,1675,1965,http://www.tate.org.uk/art/artworks/thornhill-thetis-accepting-the-shield-of-achilles-from-vulcan-t00814
91,"Thornhill, Sir James",Three Studies for Thetis in the Forge of Vulcan Watching the Making of Achilles' Armour',"Ink, watercolour and graphite on paper",1710,0.254,0.4,Male,1675,1972,http://www.tate.org.uk/art/artworks/thornhill-three-studies-for-thetis-in-the-forge-of-vulcan-watching-the-making-of-achilles-t01551
92,"Carwitham, Thomas",Fantasy of Flight,Ink and watercolour on paper,1713,0.37,0.238,Male,1713,1996,http://www.tate.org.uk/art/artworks/carwitham-fantasy-of-flight-t08118
93,"Angellis, Peter",Conversation Piece,Oil paint on canvas,1715,0.937,0.797,Male,1685,1965,http://www.tate.org.uk/art/artworks/angellis-conversation-piece-t00789
94,"Kneller, Sir Godfrey",A Lady,Chalk on paper,1715,0.327,0.241,Male,1646,1922,http://www.tate.org.uk/art/artworks/kneller-a-lady-n03616
95,"Thornhill, Sir James",A Ceiling and Wall Decoration,"Graphite, ink and watercolour on paper",1715,0.311,0.391,Male,1675,1996,http://www.tate.org.uk/art/artworks/thornhill-a-ceiling-and-wall-decoration-t08143
96,"Thornhill, Sir James","Design for the Pediment of Queen's College, Oxford",Graphite on paper,1716,0.1,0.306,Male,1675,1997,http://www.tate.org.uk/art/artworks/thornhill-design-for-the-pediment-of-queens-college-oxford-t09246
97,"Thornhill, Sir James","Invitation Card for the Feast of St Luke, with a Sketch of the Pediment of a Greek Temple","Graphite, chalk and ink on paper",1718,0.187,0.305,Male,1675,1997,http://www.tate.org.uk/art/artworks/thornhill-invitation-card-for-the-feast-of-st-luke-with-a-sketch-of-the-pediment-of-a-t10437
98,"Devoto, John",Decoration for a Staircase,Ink and watercolour on paper,1719,0.239,0.323,Male,1708,1997,http://www.tate.org.uk/art/artworks/devoto-decoration-for-a-staircase-t09284
99,"Monamy, Peter",Ships in Distress in a Storm,Oil paint on canvas,1720,0.765,1.064,Male,1681,1965,http://www.tate.org.uk/art/artworks/monamy-ships-in-distress-in-a-storm-t00807
100,"Tillemans, Peter",Foxhunting in Wooded Country,Oil paint on canvas,1720,1.022,1.172,Male,1684,1979,http://www.tate.org.uk/art/artworks/tillemans-foxhunting-in-wooded-country-t02376
101,"Van Aken, Joseph",An English Family at Tea,Oil paint on canvas,1720,0.994,1.162,Male,1699,1930,http://www.tate.org.uk/art/artworks/van-aken-an-english-family-at-tea-n04500
102,"Laroon, Marcellus, the Younger",A Musical Assembly,Oil paint on canvas,1720,1.016,1.27,Male,1679,2011,http://www.tate.org.uk/art/artworks/laroon-a-musical-assembly-t13316
103,"Kneller, Sir Godfrey",The Harvey Family,Oil paint on canvas,1721,2.348,2.838,Male,1646,2000,http://www.tate.org.uk/art/artworks/kneller-the-harvey-family-t07615
104,"Denner, Balthasar",A Girl in a Straw Hat,Oil paint on canvas,1723,0.766,0.63,Male,1685,1997,http://www.tate.org.uk/art/artworks/denner-a-girl-in-a-straw-hat-t07322
105,"Sleter, Francesco",A Representation of the Liberal Arts: Ceiling Design for the State Dining Room at Grimsthorpe Castle,Oil paint on canvas,1724,0.613,0.762,Male,1685,1982,http://www.tate.org.uk/art/artworks/sleter-a-representation-of-the-liberal-arts-ceiling-design-for-the-state-dining-room-at-t03465
106,"Hamilton, Gawen",An Elegant Company Playing Cards,Oil paint on canvas,1725,0.692,0.577,Male,1698,1967,http://www.tate.org.uk/art/artworks/hamilton-an-elegant-company-playing-cards-t00943
107,"Mercier, Philip",The Schutz Family and their Friends on a Terrace,Oil paint on canvas,1725,1.022,1.257,Male,1689,1980,http://www.tate.org.uk/art/artworks/mercier-the-schutz-family-and-their-friends-on-a-terrace-t03065
108,"Van Heemskerk, Egbert, III",The Doctor's Visit,Oil paint on canvas,1725,0.759,0.625,Male,1700,1965,http://www.tate.org.uk/art/artworks/van-heemskerk-the-doctors-visit-t00808
109,"Richardson, Jonathan",Portrait of Francisco Algarotti (1712-1764),Graphite on parchment,1726,0.158,0.133,Male,1667,1997,http://www.tate.org.uk/art/artworks/richardson-portrait-of-francisco-algarotti-1712-1764-t10435
110,"Ferrers, Benjamin",Three Ladies of the Leman Family and their Dogs on a Terrace,Oil paint on canvas,1728,0.83,1.31,Male,1695,1992,http://www.tate.org.uk/art/artworks/ferrers-three-ladies-of-the-leman-family-and-their-dogs-on-a-terrace-t06660
111,"Tillemans, Peter","Ideal Landscape. Verso: Landscape Composition with Travellers, Gibbets and Wheels in the Distance",Graphite and watercolour on paper. Verso: graphite and watercolour on paper,1728,0.18,0.349,Male,1684,1997,http://www.tate.org.uk/art/artworks/tillemans-ideal-landscape-verso-landscape-composition-with-travellers-gibbets-and-wheels-t08608
112,"Vanderbank, John",Equestrian Design: The Volte Renversee to the Right,Graphite and watercolour on paper,1728,0.257,0.174,Male,1694,1996,http://www.tate.org.uk/art/artworks/vanderbank-equestrian-design-the-volte-renversee-to-the-right-t08274
113,"Amiconi, Giacomo",Mercury About to Slay Argus,Oil paint on canvas,1730,0.655,0.645,Male,1682,1971,http://www.tate.org.uk/art/artworks/amiconi-mercury-about-to-slay-argus-t01299
114,"Laroon, Marcellus, the Younger",Riders Encountering a Figure of Fate,Oil paint on canvas,1730,0.905,0.699,Male,1679,1967,http://www.tate.org.uk/art/artworks/laroon-riders-encountering-a-figure-of-fate-t00911
115,"Richardson, Jonathan",Unknown Gentleman,Oil paint on canvas,1730,0.375,0.298,Male,1667,1974,http://www.tate.org.uk/art/artworks/richardson-unknown-gentleman-t01894
116,"Seymour, James",Chestnut Horse with a Groom near Newmarket,Oil paint on canvas,1730,0.66,1.045,Male,1702,1978,http://www.tate.org.uk/art/artworks/seymour-chestnut-horse-with-a-groom-near-newmarket-t02265
117,"Vanderbank, John",Don Quixote Addressing the Goatherds,Oil paint on oak,1730,0.406,0.295,Male,1694,1967,http://www.tate.org.uk/art/artworks/vanderbank-don-quixote-addressing-the-goatherds-t00937
118,"Hogarth, William",A Scene from The Beggar's Opera' VI,Oil paint on canvas,1731,0.572,0.762,Male,1697,1909,http://www.tate.org.uk/art/artworks/hogarth-a-scene-from-the-beggars-opera-vi-n02437
119,"Hogarth, William",Ashley Cowper with his Wife and Daughter,Oil paint on canvas,1731,0.533,0.612,Male,1697,1966,http://www.tate.org.uk/art/artworks/hogarth-ashley-cowper-with-his-wife-and-daughter-t00809
120,"Hudson, Thomas","Samuel Scott, the Marine Painter",Oil paint on canvas,1731,1.22,0.978,Male,1701,1886,http://www.tate.org.uk/art/artworks/hudson-samuel-scott-the-marine-painter-n01224
121,"Wootton, John",Life-Size Horse with Huntsman Blowing a Horn,Oil paint on canvas,1732,2.3,3.544,Male,1682,2008,http://www.tate.org.uk/art/artworks/wootton-life-size-horse-with-huntsman-blowing-a-horn-t12608
122,"Wilson, Richard","View of Carlton House, with a Royal Party in the Grounds",Oil paint on canvas,1732,0.635,0.756,Male,1713,1854,http://www.tate.org.uk/art/artworks/wilson-view-of-carlton-house-with-a-royal-party-in-the-grounds-n05560
123,"Lambert, George","A View of Box Hill, Surrey",Oil paint on canvas,1733,0.908,1.804,Male,1700,1951,http://www.tate.org.uk/art/artworks/lambert-a-view-of-box-hill-surrey-n05981
124,"Wootton, John",Viscount Weymouth's Hunt: A Groom holding a Saddled Grey Hunter with Hounds and Terriers,Oil paint on canvas,1733,4.03,3.6,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-viscount-weymouths-hunt-a-groom-holding-a-saddled-grey-hunter-with-hounds-and-t11834
125,"Wootton, John","Viscount Weymouth's Hunt: Thomas, 2nd Viscount Weymouth, with a Black Page and other Huntsmen at the Kill",Oil paint on canvas,1733,3.59,3.45,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-viscount-weymouths-hunt-thomas-2nd-viscount-weymouth-with-a-black-page-and-other-t11835
126,"Wootton, John","Viscount Weymouth's Hunt: Mr Jackson, the Hon. Henry Villiers and the Hon. Thomas Villiers, with Hunters and Hounds",Oil paint on canvas,1733,4.05,4.31,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-viscount-weymouths-hunt-mr-jackson-the-hon-henry-villiers-and-the-hon-thomas-t11836
127,"Wootton, John",Viscount Weymouth's Hunt: The Hon. John Spencer beside a Hunter held by a Young Boy,Oil paint on canvas,1733,3.45,2.56,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-viscount-weymouths-hunt-the-hon-john-spencer-beside-a-hunter-held-by-a-young-boy-t11837
128,"Wootton, John",Viscount Weymouth's Hunt: Two Hunt Servants on Hunters beside a Cottage,Oil paint on canvas,1733,3.45,2.61,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-viscount-weymouths-hunt-two-hunt-servants-on-hunters-beside-a-cottage-t11838
129,"Wootton, John",Two Stallions Fighting,Oil paint on canvas,1733,2.51,3.58,Male,1682,2004,http://www.tate.org.uk/art/artworks/wootton-two-stallions-fighting-t11839
