index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17155,"Motherwell, Robert",The Dalton Print,Lithograph on paper,1979,0.55,0.455,Male,1915,2004,http://www.tate.org.uk/art/artworks/motherwell-the-dalton-print-p12195
17156,"Kelly, Ellsworth","Saint Martin Landscape, State I-A",Lithograph and screenprint on paper,1979,0.388,0.557,Male,1923,2004,http://www.tate.org.uk/art/artworks/kelly-saint-martin-landscape-state-i-a-p12118
17157,"Meyer, Klaus",Blue Tower (<U+0093>Open Fields<U+0094>),Woodcut and linocut on paper,1979,0.4,0.63,Male,1918,2004,http://www.tate.org.uk/art/artworks/meyer-blue-tower-open-fields-p12441
17158,"Kippenberger, Martin",Event Poster S.O. 36,Lithograph on paper,1979,0.427,0.299,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-event-poster-so-36-p79068
17159,"Kippenberger, Martin",Event Poster S.O. 36,Lithograph on paper,1979,0.298,0.298,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-event-poster-so-36-p79069
17160,"Kippenberger, Martin",This Band is Playing on Luxus,Lithograph on paper,1979,0.355,0.216,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-this-band-is-playing-on-luxus-p79070
17161,"Kippenberger, Martin",This Fellow is Playing on Luxus,Lithograph on paper,1979,0.355,0.216,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-this-fellow-is-playing-on-luxus-p79071
17162,"Kippenberger, Martin",This Guy is playing on Luxus,Lithograph on paper,1979,0.355,0.216,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-this-guy-is-playing-on-luxus-p79072
17163,"Kippenberger, Martin",This Woman is Playing on Luxus,Lithograph on paper,1979,0.355,0.216,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-this-woman-is-playing-on-luxus-p79073
17164,"Kippenberger, Martin",This Man is Playing on Luxus,Lithograph on paper,1979,0.355,0.216,Male,1953,2005,http://www.tate.org.uk/art/artworks/kippenberger-this-man-is-playing-on-luxus-p79074
