index,url,name,appearances,current,sex,join_date,join_year,years,status,death ,return,Notes
115,http://marvel.wikia.com/Brian_Braddock_(Earth-616)#,Brian Braddock,545,NO,male,10-May,2010,13,full,no_death,no_return,NA
116,http://marvel.wikia.com/Dennis_Sykes_(Earth-616)#,Dennis Sykes,6,NO,male,10-Sep,2010,13,full,death,no_return,Died in Heroic_Age:_One_Month_to_Live_Vol_1_5 stayed dead. 
117,http://marvel.wikia.com/Noh-Varr_(Earth-616)#,Noh-Varr,126,YES,male,10-Jun,2010,13,full,no_death,no_return,NA
118,http://marvel.wikia.com/Thaddeus_Ross_(Earth-616)#,Thaddeus Ross,417,NO,male,11-Jun,2011,12,full,death,return,Died in Circle of Four arc. Made a deal with Mephisto and came back. 
119,http://marvel.wikia.com/John_Aman_(Earth-616)#,John Aman,31,YES,male,10-Dec,2010,13,full,no_death,no_return,NA
120,http://marvel.wikia.com/Shang-Chi_(Earth-616)#,Shang-Chi,310,YES,male,11-Apr,2011,12,full,no_death,no_return,NA
121,http://marvel.wikia.com/Jeanne_Foucault_(Earth-616)#,Jeanne Foucault,63,YES,female,10-Aug,2010,13,honorary,no_death,no_return,NA
122,http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#,Jennifer Takeda,73,YES,female,10-Aug,2010,13,honorary,no_death,no_return,NA
123,http://marvel.wikia.com/Ken_Mack_(Earth-616)#,Ken Mack,59,NO,male,10-Aug,2010,13,honorary,death,no_return,Died in Murderworld during Avengers Arena
124,http://marvel.wikia.com/Humberto_Lopez_(Earth-616)#,Humberto Lopez,66,YES,male,10-Aug,2010,13,honorary,death,no_return,Died in Murderworld during Avengers Arena
125,http://marvel.wikia.com/Brandon_Sharpe_(Earth-616)#,Brandon Sharpe,64,YES,male,10-Aug,2010,13,honorary,no_death,no_return,NA
126,http://marvel.wikia.com/Daisy_Johnson_(Earth-616)#,Daisy Johnson,81,NO,female,12-Jan,2012,11,full,no_death,no_return,NA
127,http://marvel.wikia.com/Ororo_Munroe_(Earth-616)#,Ororo Munroe,1598,NO,female,12-Jan,2012,11,full,no_death,no_return,NA
128,http://marvel.wikia.com/Matthew_Murdock_(Earth-616)#,Matt Murdock,1375,NO,male,11-Nov,2011,12,full,no_death,no_return,NA
129,http://marvel.wikia.com/Eugene_Thompson_(Earth-616)#,Flash Thompson,746,YES,male,12-Apr,2012,11,honorary,no_death,no_return,NA
130,http://marvel.wikia.com/Otto_Octavius_(Earth-616)#,Otto Octavius,561,NO,male,13-Jan,2013,10,full,death,no_return,Died in Superior_Spider-Man_Vol_1_30. 
131,http://marvel.wikia.com/Alexander_Summers_(Earth-616)#,Alex Summers,592,YES,male,12-Dec,2012,11,full,no_death,no_return,NA
132,http://marvel.wikia.com/Samuel_Guthrie_(Earth-616)#,Samuel Guthrie,679,YES,male,13-Feb,2013,10,full,no_death,no_return,NA
133,http://marvel.wikia.com/Roberto_da_Costa_(Earth-616)#,Roberto da Costa,491,YES,male,13-Feb,2013,10,full,no_death,no_return,NA
134,http://marvel.wikia.com/Eden_Fesi_(Earth-616)#,Eden Fesi,65,YES,male,13-Feb,2013,10,full,no_death,no_return,NA
135,http://marvel.wikia.com/Captain_Universe_(Earth-616)#,,55,YES,male,13-Feb,2013,10,full,no_death,no_return,NA
136,http://marvel.wikia.com/Isabel_Kane_(Earth-616)#,Izzy Kane,44,YES,female,13-Feb,2013,10,full,no_death,no_return,NA
137,http://marvel.wikia.com/Marcus_Milton_(Earth-13034)#,Marcus Milton,65,YES,male,13-Feb,2013,10,full,death,no_return,Died in New_Avengers_Vol_3_32. 
138,http://marvel.wikia.com/Rogue_(Anna_Marie)_(Earth-616)#,Anna Marie,877,YES,female,13-Apr,2013,10,full,no_death,no_return,NA
